time,x,y,z
0.000000,-0.079137,0.030643,0.081321
0.100000,-0.110814,0.011859,0.119727
0.200000,-0.077932,-0.043499,0.200156
0.300000,-0.057638,-0.019574,0.207236
0.400000,-0.115911,-0.118847,0.152640
0.500000,-0.166524,-0.323498,0.045570
0.600000,-0.253179,-0.876645,-0.647607
0.700000,-0.016744,-0.371655,0.068641
0.800000,0.161173,0.272281,-0.265939
0.900000,-0.241384,0.095981,-0.040460
1.000000,-0.009496,-0.010052,0.137199
1.100000,0.129725,0.046253,0.088264
1.200000,0.012965,-0.002011,-0.090218
1.300000,0.012675,0.057239,-0.212136
1.400000,-0.049291,0.039051,0.004462
1.500000,-0.018468,0.049015,0.214637
1.600000,-0.099080,0.031208,0.267631
1.700000,-0.193517,-0.055462,0.064567
1.800000,-0.184636,0.018467,0.113654
1.900000,-0.089803,0.038806,0.041892
2.000000,-0.154577,0.015522,-0.014352
2.100000,-0.130422,0.023075,0.120521
2.200000,-0.063527,0.004932,-0.024880
2.300000,-0.032049,0.039905,0.028709
2.400000,-0.060048,0.054966,0.015906
2.500000,-0.094915,0.035968,0.031409
2.600000,-0.158346,0.008716,0.025275
2.700000,-0.080297,0.048282,-0.001977
2.800000,-0.064733,0.068500,0.055228
2.900000,-0.121358,0.044696,0.065269
3.000000,-0.191137,0.015613,0.195212
3.100000,-0.267812,0.064395,0.291968
3.200000,-0.187932,-0.013928,0.338523
3.300000,-0.328115,-0.292096,-0.139443
3.400000,-0.470113,-0.628842,-0.066003
3.500000,-0.035558,-0.180569,-0.398385
3.600000,-0.177617,0.017475,-0.322259
3.700000,0.322581,-0.009839,0.170920
3.800000,0.304240,-0.046933,0.080939
3.900000,0.261866,0.077091,0.116416
4.000000,0.057246,0.003131,-0.106347
4.100000,-0.005636,-0.043347,-0.292642
4.200000,-0.031835,-0.063412,-0.158379
4.300000,-0.144231,-0.065182,0.126151
4.400000,-0.151525,-0.040875,0.372001
4.500000,-0.058599,-0.092038,0.139533
4.600000,-0.131887,-0.083004,0.155769
4.700000,-0.104192,-0.040646,0.014152
4.800000,-0.062002,-0.014187,-0.088357
4.900000,-0.187703,-0.088818,0.017417
5.000000,-0.135473,-0.034756,-0.088540
5.100000,-0.134237,0.000644,-0.030602
5.200000,0.021556,-0.000378,0.017676
5.300000,0.040843,0.052570,0.019721
5.400000,-0.022771,0.028247,-0.011346
5.500000,-0.095571,-0.023709,-0.005898
5.600000,-0.039083,-0.024228,0.176185
5.700000,-0.070058,-0.040692,0.072822
