time,x,y,z
0,-0.054153,0.002517,0.038588
0.015905,0.036286,0.037398,0.077787
0.031809,0.312363,0.026076,0.007566
0.047714,0.464783,0.042678,0.032759
0.063618,0.479188,0.053985,-0.00046
0.079523,0.529984,0.068969,0.033918
0.095427,0.567155,0.090285,0.094801
0.111332,0.587678,0.09085,0.118956
0.127237,0.624284,0.087844,0.116072
0.143141,0.599931,0.096633,0.112822
0.159046,0.561082,0.091872,0.091856
0.17495,0.529801,0.100158,0.110746
0.190855,0.554154,0.096908,0.111525
0.206759,0.557008,0.081908,0.155973
0.222664,0.491257,0.076354,0.183699
0.238569,0.472153,0.057647,0.160688
0.254473,0.434663,0.029128,0.174726
0.270378,0.373521,0.037948,0.179701
0.286282,0.361512,0.004287,0.210691
0.302187,0.347489,-0.000688,0.250685
0.318091,0.337281,-0.006593,0.232161
0.333996,0.297791,-0.002915,0.218565
0.349901,0.220933,0.030257,0.219831
0.365805,0.18216,0.055358,0.191236
0.38171,0.166245,0.026824,0.228102
0.397614,0.167084,-0.003938,0.285978
0.413519,0.142731,-0.007081,0.276136
0.429423,0.130662,0.024169,0.153166
0.445328,0.082749,0.030135,0.066923
0.461233,-0.015945,-0.009324,0.145719
0.477137,-0.035964,-0.046693,0.199598
0.493042,0.052964,-0.046479,0.160124
0.508946,0.110612,-0.023271,0.090803
0.524851,-0.00476,-0.004395,0.008512
0.540755,-0.1492,-0.004304,0.088636
0.55666,-0.172775,-0.003922,0.109312
0.572565,-0.085571,0.00122,0.073683
0.588469,0.054795,-0.006715,0.088118
0.604374,0.013413,-0.00351,0.069273
0.620278,-0.132217,0.024962,0.072905
0.636183,-0.207977,0.047225,0.044096
0.652087,-0.225188,0.070403,0.006742
0.667992,-0.141067,0.040526,0.014967
0.683897,-0.145522,0.02452,0.071165
0.699801,-0.242538,0.043181,0.055433
0.715706,-0.281158,0.044219,-0.005648
0.73161,-0.284713,0.056243,-0.02054
0.747515,-0.114242,0.000197,0.03517
0.763419,-0.124313,0.002669,0.046019
0.779324,-0.176955,0.03807,0.030516
0.795229,-0.200484,0.048842,-0.033342
0.811133,-0.184524,0.057113,-0.031496
0.827038,-0.116561,0.013564,0.02696
0.842942,-0.144866,0.044387,0.049513
0.858847,-0.18843,0.066649,0.056608
0.874751,-0.234115,0.080703,0.041197
0.890656,-0.232299,0.067428,0.032667
0.906561,-0.195449,0.035888,0.046644
0.922465,-0.132796,0.00801,0.069899
0.93837,-0.156753,0.023314,0.073133
0.954274,-0.188171,0.040587,0.044416
0.970179,-0.099578,0.006026,-0.004168
0.986083,-0.160415,0.025619,0.003752
1.001988,-0.113952,-0.020051,0.070951
1.017893,-0.11914,-0.006928,0.089949
1.033797,-0.127181,0.020064,0.012861
1.049702,-0.098678,0.025359,0.009687
1.065606,-0.057067,0.006179,0.082792
1.081511,-0.125869,0.039245,0.080076
1.097415,-0.183547,0.067489,0.05995
1.11332,-0.176833,0.0755,0.059431
1.129225,-0.118224,0.053756,0.077742
1.145129,-0.033279,-0.015794,0.085676
1.161034,-0.109481,0.009002,0.101728
1.176938,-0.179443,0.034209,0.070921
1.192843,-0.186904,0.015883,0.0567
1.208747,-0.178451,-0.007356,0.095335
1.224652,-0.171752,-0.018922,0.108778
1.240557,-0.135696,-0.041154,0.056791
1.256461,-0.129928,-0.027131,0.035582
1.272366,-0.154906,-0.000291,-0.007937
1.28827,-0.150588,0.009444,-0.016619
1.304175,-0.166976,0.015487,0.00392
1.320079,-0.185302,0.04193,0.011503
1.335984,-0.14978,0.033324,-0.011217
1.351889,-0.160018,0.062758,0.006559
1.367793,-0.183257,0.078948,-0.003038
