time,x,y,z
1.367793,-0.183257,0.078948,-0.003038
1.383698,-0.225021,0.104186,-0.031939
1.399602,-0.266113,0.12741,-0.019136
1.415507,-0.272506,0.123214,0.016722
1.431411,-0.283569,0.161574,-0.023195
1.447316,-0.282607,0.165694,-0.041887
1.463221,-0.272811,0.167098,-0.054659
1.479125,-0.096725,0.078216,-0.136736
1.49503,0.035279,0.012542,-0.090899
1.510934,0.080445,-0.00734,-0.029284
1.526839,-0.003417,0.043899,-0.009432
1.542743,-0.086715,0.073043,-0.042849
1.558648,0.028504,0.021041,-0.01964
1.574553,0.262315,-0.080873,0.011915
1.590457,0.381532,-0.113297,0.025816
1.606362,0.311921,-0.079316,0.035063
1.622266,0.027161,0.063842,0.095762
1.638171,-0.061599,0.088775,0.035047
1.654075,0.108765,-0.005433,-0.112612
1.66998,0.214906,-0.038239,-0.207399
1.685885,0.280366,-0.071961,-0.115831
1.701789,0.290147,-0.120835,-0.009707
1.717694,0.280442,-0.132295,-0.003161
1.733598,0.221528,-0.127488,0.0464
1.749503,0.188248,-0.109361,-0.033861
1.765407,0.121064,-0.001969,-0.181658
1.781312,0.166886,-0.00995,-0.159823
1.797217,0.238938,-0.06952,-0.025072
1.813121,0.176698,-0.086595,0.093916
1.829026,0.0318,0.066955,0.083296
1.84493,0.066331,-0.03943,-0.040407
1.860835,0.083741,0.009612,-0.206621
1.876739,0.091401,0.010421,-0.076723
1.892644,0.151673,-0.054856,-0.01285
1.908549,0.132615,-0.050294,0.038282
1.924453,0.143632,-0.053773,0.075666
1.940358,0.179353,-0.053193,-0.001696
1.956262,0.204545,-0.036317,0.00839
1.972167,0.1615,-0.003968,-0.026537
1.988071,0.135011,-0.00052,-0.112886
2.003976,0.08722,0.04338,-0.135317
2.019881,0.124573,0.021621,-0.139513
2.035785,0.19986,-0.022752,-0.053759
2.05169,0.2193,-0.024674,-0.088762
2.067594,0.089631,0.072219,-0.17116
2.083499,-0.020782,0.126647,-0.263765
2.099403,0.042191,0.10266,-0.245485
2.115308,0.135728,0.0027,-0.147249
2.131213,0.135819,-0.000428,-0.055254
2.147117,0.140794,-0.008683,-0.070131
2.163022,0.088303,0.033996,-0.17444
2.178926,0.08429,0.02333,-0.262056
2.194831,0.164582,-0.068437,-0.133455
2.210735,0.175401,-0.115952,0.037306
2.22664,0.209382,-0.131562,0.117781
2.242545,0.191911,-0.112535,0.089399
2.258449,0.115418,-0.05478,0.104124
2.274354,0.129258,-0.03972,0.129164
2.290258,0.10164,-0.010026,0.106352
2.306163,0.063447,0.012832,0.162992
2.322067,0.076249,0.045547,0.18852
2.337972,0.107438,0.0605,0.051268
2.353877,0.093476,0.035689,-0.003344
2.369781,0.138673,0.033935,0.090635
2.385686,0.15738,-0.005204,0.217314
2.40159,0.136262,-0.00937,0.272917
2.417495,0.105607,-0.003556,0.322218
2.433399,0.16591,-0.060197,0.401823
2.449304,0.181535,-0.066957,0.494261
2.465209,0.205598,-0.080003,0.733427
2.481113,0.193894,-0.046449,0.759596
2.497018,0.127427,0.016341,0.698317
2.512922,0.13588,-0.00081,0.5753
2.528827,0.161927,-0.05539,0.578428
2.544731,0.139924,-0.078797,0.799711
2.560636,0.08957,0.020843,0.863127
2.576541,0.233338,0.035933,0.561674
2.592445,0.182481,0.143508,0.337812
2.60835,0.132157,0.166915,-0.033815
2.624254,0.171693,0.133208,-0.259447
2.640159,0.35994,0.08348,-0.166475
