time,x,y,z
3.689861,0.15471,-0.005525,-0.427233
3.705765,-0.004272,0.063964,-0.480944
3.72167,-0.08792,0.102752,-0.518374
3.737574,-0.081176,0.093184,-0.460054
3.753479,-0.031097,0.056533,-0.39406
3.769384,-0.047012,0.062331,-0.370302
3.785288,-0.021255,0.057723,-0.397646
3.801193,0.016038,0.04515,-0.365862
3.817097,0.034913,0.029281,-0.333117
3.833002,0.050843,0.029906,-0.33832
3.848906,0.066285,0.018767,-0.380297
3.864811,0.062272,0.004577,-0.305071
3.880716,0.096207,-0.003983,-0.218233
3.89662,0.050935,0.013915,-0.215838
3.912525,0.044816,0.011367,-0.181871
3.928429,0.104737,-0.012925,-0.099077
3.944334,0.061341,0.041717,-0.143908
3.960238,0.081315,0.069976,-0.329699
3.976143,0.135255,0.041945,-0.179247
3.992048,0.122758,0.014617,-0.004473
4.007952,0.02617,0.041915,0.023756
4.023857,0.039643,0.036101,0.12422
4.039761,0.107438,0.007842,0.126066
4.055666,0.122254,-0.008378,0.110075
4.07157,0.047807,0.019973,0.094984
4.087475,0.040559,0.011733,0.135267
4.10338,0.05185,0.002776,0.247572
4.119284,0.052003,-0.001313,0.284071
4.135189,0.05008,0.000304,0.310224
4.151093,-0.016067,0.020873,0.265837
4.166998,-0.061401,0.048873,0.194929
4.182902,-0.04927,0.051345,0.185072
4.198807,0.012788,0.03453,0.206266
4.214712,0.105042,-0.03058,0.256697
4.230616,0.029542,0.002913,0.267652
4.246521,-0.010131,0.001998,0.193388
4.262425,0.030061,-0.017274,0.231733
4.27833,0.024644,-0.005555,0.195219
4.294234,0.167893,-0.06302,0.247267
4.310139,0.083924,-0.002122,0.225279
4.326044,0.029771,0.020064,0.128416
4.341948,0.028962,0.029967,0.098585
4.357853,0.07573,0.006042,0.195158
4.373757,0.087739,0.005553,0.112638
4.389662,0.121323,-0.020814,0.06613
4.405566,0.074921,-0.00203,0.071135
4.421471,0.074723,-0.019715,0.105986
4.437376,0.08104,-0.031129,0.139936
4.45328,0.126878,-0.047639,0.167021
4.469185,0.10727,-0.034074,0.136183
4.485089,0.068513,-0.007554,0.068479
4.500994,0.04062,0.010497,-0.000948
4.516898,0.033524,0.014174,0.000578
4.532803,0.02588,-0.022325,0.10008
4.548708,0.007691,-0.021211,0.182341
4.564612,0.003007,-0.000337,0.169371
4.580517,-0.045287,0.018416,0.073347
4.596421,-0.07962,0.033248,-0.000734
4.612326,-0.065002,0.020171,0.002775
4.62823,-0.013976,-0.000993,0.012434
4.644135,-0.034972,0.004653,0.040327
4.66004,-0.071212,-0.001512,-0.009234
4.675944,-0.116714,-0.021134,-0.07361
4.691849,-0.157058,-0.052674,-0.060152
4.707753,-0.153274,-0.065431,-0.064699
4.723658,-0.208007,-0.094163,-0.110628
4.739562,-0.373367,-0.074281,-0.153399
4.755467,-0.414108,-0.044007,-0.155077
4.771372,-0.370773,-0.089753,-0.111742
4.787276,-0.278701,-0.154237,0.009062
4.803181,-0.241042,-0.057832,0.071104
4.819085,-0.155608,0.020247,0.010313
4.83499,-0.117782,0.006606,0.028883
4.850894,-0.132461,-0.054551,0.062437
4.866799,-0.051696,0.024383,0.077574
