time,x,y,z
0.000000,-0.078613,-0.741257,-0.739349
0.100000,-0.074860,-0.742935,-0.651352
0.200000,-0.086166,-0.765518,-0.631119
0.300000,-0.078674,-0.762482,-0.636322
0.400000,-0.082031,-0.749619,-0.650284
0.500000,-0.081818,-0.742554,-0.657990
0.600000,-0.085449,-0.744888,-0.653366
0.700000,-0.082748,-0.746613,-0.650192
0.800000,-0.077850,-0.707840,-0.640350
0.900000,-0.077194,-0.764282,-0.632462
1.000000,-0.062576,-0.811783,-0.592255
1.100000,-0.030319,-0.847214,-0.532104
1.200000,-0.056458,-0.870453,-0.515640
1.300000,0.019516,-0.752106,-0.527542
1.400000,0.026077,-2.115494,-0.454239
1.500000,0.061478,-0.661896,-0.416901
1.600000,-0.181732,-0.958725,-0.493210
1.700000,0.299896,-1.763290,-0.852341
1.800000,0.291855,-1.748535,-0.486877
1.900000,-0.359985,-0.051346,-0.557495
2.000000,-0.204788,-0.493652,-0.479752
2.100000,-0.360306,-0.052780,-0.742889
2.200000,0.068512,-1.061142,-0.746292
2.300000,0.059387,-1.069717,-0.765717
2.400000,-0.257690,-0.312592,-0.856430
2.500000,0.027313,-0.769058,-0.627274
2.600000,-0.414856,-0.094040,-0.692032
2.700000,0.140961,-1.290176,-0.677872
2.800000,-0.082123,-1.032333,-0.746964
2.900000,-0.212204,-0.006165,-0.486816
3.000000,-0.235886,-0.267609,-0.662979
3.100000,-0.197357,-0.744186,-0.719696
3.200000,-0.274261,-0.110489,-0.596939
3.300000,-0.025314,-0.689102,-0.599213
3.400000,-0.156509,-0.279556,-0.724289
3.500000,-0.033691,-0.715881,-0.639404
3.600000,-0.119278,-0.709290,-0.601013
3.700000,-0.132965,-0.516129,-0.561050
3.800000,-0.124847,-0.994583,-0.788864
3.900000,-0.057877,-0.473099,-0.548279
4.000000,-0.215897,-0.443726,-0.731110
4.100000,-0.096603,-0.954880,-0.648102
4.200000,-0.255844,-0.079269,-0.554489
4.300000,-0.136902,-0.139633,-0.706955
4.400000,-0.212631,-0.047058,-0.473282
4.500000,-0.075333,-0.095230,-0.293030
4.600000,-0.175705,-0.372589,-0.458405
4.700000,-0.101624,-0.087250,-0.318405
4.800000,-0.238022,-0.125381,-0.455444
4.900000,-0.276962,0.037308,-0.671494
5.000000,-0.227982,-0.580002,-0.646713
5.100000,0.110611,-0.683273,-0.866989
5.200000,0.120712,-2.074188,-0.338348
5.300000,-0.151932,-0.123138,-0.574463
5.400000,0.143631,-1.253647,-0.982132
5.500000,-0.059082,-0.433472,-0.746338
5.600000,-0.009628,-1.120590,-0.730576
5.700000,0.105133,-1.842346,-0.560104
5.800000,-0.140930,-0.963852,-0.701752
5.900000,-0.248062,-0.102142,-0.563187
6.000000,-0.183838,-0.194153,-0.646683
6.100000,-0.184937,-0.293976,-0.757355
6.200000,-0.243912,-0.098389,-0.520798
6.300000,-0.041077,-1.097595,-0.729568
6.400000,0.169510,-1.630615,-0.590012
6.500000,0.163773,-1.203293,-0.663376
6.600000,-0.190384,-0.572113,-0.710464
6.700000,-0.168320,-0.816223,-0.794296
6.800000,-0.060776,-0.417557,-0.619522
6.900000,-0.055237,-0.552200,-0.838120
7.000000,-0.032394,-0.560181,-0.835434
7.100000,-0.067001,-0.730942,-0.738831
7.200000,-0.052795,-0.746719,-0.680267
7.300000,-0.076920,-0.732773,-0.681442
7.400000,-0.060532,-0.717041,-0.683548
7.500000,-0.081238,-0.717911,-0.682922
7.600000,-0.069061,-0.713440,-0.693054
7.700000,-0.074142,-0.717514,-0.699707
7.800000,-0.070038,-0.714874,-0.691956
7.900000,-0.060242,-0.729492,-0.662003
8.000000,-0.071671,-0.711899,-0.687210
8.100000,-0.090530,-0.728668,-0.669373
8.200000,-0.119522,-0.542358,-0.861923
8.300000,-0.208679,-0.700745,-0.955841
8.400000,-0.056580,-0.545776,-0.751709
8.500000,-0.025375,-0.469589,-1.088272
8.600000,-0.141907,-0.343323,-0.390198
8.700000,-0.301605,0.012802,-0.582565
8.800000,-0.123260,-0.473679,-0.786621
8.900000,0.022171,-2.579819,-0.428238
9.000000,-0.276276,-0.585312,-0.445068
9.100000,-0.083359,-0.709579,-0.495010
9.200000,0.026962,-0.842804,-0.498444
9.300000,0.262970,-1.693054,-0.657333
9.400000,-0.465393,-0.351334,-1.462158
9.500000,-0.241913,-0.064713,-0.713623
9.600000,-0.193542,-0.360565,-0.881348
9.700000,-0.178268,-0.348007,-0.633392
9.800000,0.001266,-0.380981,-0.676056
9.900000,-0.137909,-0.255264,-0.756470
10.000000,-0.212387,-0.708374,-0.618637
10.100000,0.157150,-1.279007,-0.661972
10.200000,-0.059860,-0.015457,-0.383270
10.300000,0.026108,-1.031036,-1.080750
10.400000,-0.341690,-0.204102,-0.584854
10.500000,0.092255,-0.720184,-0.677475
10.600000,0.008469,-0.529266,-0.652542
10.700000,0.185043,-0.806778,-0.685562
10.800000,-0.003403,-0.451385,-0.678452
10.900000,0.268768,-1.533691,-0.833481
11.000000,0.148285,-1.203598,-0.756653
11.100000,-0.261627,-0.745117,-1.009354
11.200000,-0.330917,-0.247772,-0.733582
11.300000,-0.207443,-0.137711,-0.482483
11.400000,0.351181,-1.906570,-1.572342
11.500000,0.053925,-0.999283,-1.268661
11.600000,0.004593,-1.463303,-0.462357
11.700000,-0.040131,-0.375076,-0.593063
11.800000,-0.168259,-0.068817,-0.400848
11.900000,0.063095,-1.294327,-1.119720
12.000000,-0.220337,-0.221970,-0.671234
12.100000,0.029861,-1.343506,-0.749771
12.200000,0.028320,-1.696899,-0.491714
12.300000,-0.167877,-0.622360,-0.594315
12.400000,0.089539,-0.770920,-0.988525
12.500000,0.138779,-2.399948,-0.398865
12.600000,-0.144516,-0.524094,-0.649033
12.700000,-0.440445,-0.487076,-1.732956
12.800000,-0.029755,-0.862579,-0.822922
12.900000,0.019348,-0.686096,-0.562820
13.000000,0.119385,-1.376755,-0.614960
13.100000,-0.068588,-1.311600,-0.527161
13.200000,0.045517,-1.898346,-0.636810
13.300000,-0.087067,-1.066391,-0.598236
13.400000,-0.160706,-0.835693,-0.725647
13.500000,-0.153534,-0.670975,-0.715988
13.600000,-0.012024,-1.227219,-0.739548
13.700000,-0.110764,-0.976013,-0.532806
