time,x,y,z
12:06:57.09,-780,3088,15200
12:06:57.09,-1096,2912,15516
12:06:57.09,-1136,3044,15380
12:06:57.12,-940,3008,15328
12:06:57.12,-968,3048,15440
12:06:57.16,-992,3060,15524
12:06:57.16,-968,3168,15520
12:06:57.16,-1096,2996,15608
12:06:57.19,-1200,3028,15496
12:06:57.19,-980,3216,15456
12:06:57.23,-1112,3252,15756
12:06:57.23,-936,3084,15344
12:06:57.23,-1044,3092,15428
12:06:57.26,-1044,3164,15508
12:06:57.26,-1144,2952,15404
12:06:57.26,-1104,3080,15324
12:06:57.30,-1060,3028,15428
12:06:57.30,-1024,2948,15448
12:06:57.34,-808,3104,15256
12:06:57.34,-916,3012,15424
12:06:57.34,-972,3132,15288
12:06:57.37,-1088,3044,15360
12:06:57.37,-1192,3128,15608
12:06:57.37,-860,3100,15204
12:06:57.41,-988,3044,15420
12:06:57.41,-968,3156,15784
12:06:57.44,-1104,3064,15356
12:06:57.44,-1244,3224,15524
12:06:57.44,-1004,3216,15572
12:06:57.48,-992,3092,15384
12:06:57.48,-1156,2940,15436
12:06:57.51,-940,3176,15472
12:06:57.51,-1048,3020,15576
12:06:57.51,-1124,2932,15584
12:06:57.54,-1008,3200,15404
12:06:57.54,-988,3072,15408
12:06:57.58,-1104,2956,15456
12:06:57.58,-996,3048,15200
12:06:57.58,-976,2972,15440
12:06:57.62,-1108,3064,15564
12:06:57.62,-996,3192,15172
12:06:57.62,-1140,2924,15560
12:06:57.65,-1024,3016,15544
12:06:57.65,-1056,3148,15336
12:06:57.69,-1044,3068,15520
12:06:57.69,-1224,3056,15504
12:06:57.72,-992,3028,15420
12:06:57.72,-956,2736,15488
12:06:57.72,-1264,2548,15840
12:06:57.72,-728,3176,14436
12:06:57.76,-568,2756,15228
12:06:57.76,-1404,2920,16248
12:06:57.79,-844,2796,15304
12:06:57.79,-1040,2888,15440
12:06:57.83,-828,2992,15320
12:06:57.83,-764,3176,15472
12:06:57.83,-804,3064,15680
12:06:57.86,-976,2944,15436
12:06:57.86,-1004,2856,15340
12:06:57.86,-992,2988,15480
12:06:57.90,-872,3032,15416
12:06:57.90,-916,2928,15348
12:06:57.93,-992,2940,15752
12:06:57.93,-848,2856,15256
12:06:57.93,-880,2820,15424
12:06:57.97,-940,2940,15456
12:06:57.97,-800,2904,15360
12:06:58.00,-968,2752,15456
12:06:58.00,-884,3072,15344
12:06:58.00,-828,2800,15640
12:06:58.04,-1248,2732,15488
12:06:58.04,-888,2952,15188
12:06:58.04,-1256,2784,15860
12:06:58.07,-976,2888,14988
12:06:58.07,-1284,3224,15908
12:06:58.11,-880,3136,15156
12:06:58.11,-1092,2924,15164
12:06:58.11,-1348,2928,16772
12:06:58.14,-848,3148,14388
12:06:58.14,-1016,2780,15976
12:06:58.18,-1144,3224,15240
12:06:58.18,-612,2748,15440
12:06:58.18,-1376,2900,15492
12:06:58.21,-836,3028,15592
12:06:58.21,-1008,3128,15464
12:06:58.21,-804,2824,15528
12:06:58.25,-1024,2876,15276
12:06:58.25,-968,2888,15528
12:06:58.25,-1068,2796,15368
12:06:58.28,-876,2844,15364
12:06:58.28,-808,2900,15444
12:06:58.32,-1184,2924,15484
12:06:58.32,-984,2884,15344
12:06:58.35,-1100,2960,15660
12:06:58.35,-1080,2820,15488
12:06:58.35,-1116,2888,15404
12:06:58.39,-1216,3020,15360
12:06:58.39,-960,2884,15252
12:06:58.42,-1076,3064,15496
12:06:58.42,-788,3096,15492
12:06:58.42,-992,3064,15220
12:06:58.46,-1032,2884,15528
12:06:58.46,-1088,3088,15356
12:06:58.49,-832,2916,15428
12:06:58.49,-872,2936,15560
12:06:58.49,-936,3112,15436
12:06:58.53,-964,2948,15708
12:06:58.53,-1160,3056,15352
12:06:58.53,-696,3060,15516
12:06:58.56,-904,2880,15432
12:06:58.56,-788,2888,16008
12:06:58.59,-1248,3224,15584
12:06:58.59,-912,2944,15344
12:06:58.59,-1092,3020,15444
12:06:58.63,-736,3068,15188
12:06:58.63,-1016,2812,15736
12:06:58.67,-676,3200,15428
12:06:58.67,-2028,3456,14964
12:06:58.67,-804,3292,16036
12:06:58.70,-1024,3592,14604
12:06:58.70,-1164,3152,16084
12:06:58.70,-1212,3948,14536
12:06:58.74,-1784,3292,16240
12:06:58.74,-1176,3972,13976
12:06:58.77,-888,3708,16392
12:06:58.77,-1544,4212,13968
12:06:58.81,-1076,3424,15444
12:06:58.81,-2424,4252,16136
12:06:58.81,-284,4368,13508
12:06:58.84,-2232,4444,17152
12:06:58.84,-684,4792,12900
12:06:58.84,-2348,4448,16188
12:06:58.88,-1704,5004,15436
12:06:58.88,-888,4692,13876
12:06:58.92,-2288,4904,16316
12:06:58.92,-1304,5516,14112
12:06:58.92,-1788,4600,14808
12:06:58.95,-2176,5296,16336
12:06:58.95,-1196,5860,13644
12:06:58.99,-1820,5344,15008
12:06:58.99,-2160,5752,15564
12:06:58.99,-1408,5200,13560
12:06:59.02,-2224,5184,16480
12:06:59.02,-1824,5936,14148
12:06:59.06,-1068,5200,14212
12:06:59.06,-2516,5340,16384
12:06:59.09,-1228,5572,13276
12:06:59.09,-2048,5208,16088
12:06:59.09,-1980,5460,15176
12:06:59.12,-1228,5316,14336
12:06:59.12,-2592,5384,16636
12:06:59.15,-960,5416,13356
12:06:59.15,-2024,5384,16428
12:06:59.19,-1856,5920,14648
12:06:59.19,-900,5048,14524
12:06:59.19,-2400,5548,15920
12:06:59.22,-424,5300,13164
12:06:59.22,-2616,5112,16908
12:06:59.26,-740,5332,13364
12:06:59.26,-1848,5168,16416
12:06:59.29,-1764,5776,14692
12:06:59.29,-836,5132,14972
12:06:59.29,-2588,5652,15836
12:06:59.32,-180,5324,12856
12:06:59.32,-2888,5340,16816
