time,x,y,z
12:04:00.65,-272,3236,15412
12:04:00.65,340,3244,15424
12:04:00.68,-72,3232,15084
12:04:00.68,48,3096,15508
12:04:00.68,-108,3284,15536
12:04:00.71,-44,3120,15592
12:04:00.71,44,3184,15356
12:04:00.75,172,3360,15568
12:04:00.75,-32,3244,15440
12:04:00.75,-108,3216,15532
12:04:00.78,28,3304,15500
12:04:00.78,-124,3312,15476
12:04:00.81,192,3216,15496
12:04:00.81,16,3384,15456
12:04:00.81,-64,3244,15588
12:04:00.85,-36,3344,15596
12:04:00.85,-12,3360,15360
12:04:00.88,160,3268,15516
12:04:00.88,84,3200,15448
12:04:00.88,-8,3376,15376
12:04:00.91,20,3112,15516
12:04:00.91,-180,3192,15312
12:04:00.91,44,3300,15208
12:04:00.95,204,3260,15720
12:04:00.95,-28,3252,15556
12:04:00.98,-32,3136,15520
12:04:00.98,148,3204,15616
12:04:00.98,32,3240,15268
12:04:01.02,36,3276,15600
12:04:01.02,-104,3384,15548
12:04:01.05,-132,3144,15456
12:04:01.05,68,3300,15516
12:04:01.05,4,3376,15548
12:04:01.08,-8,3240,15536
12:04:01.08,40,3256,15488
12:04:01.08,-44,3324,15456
12:04:01.12,44,3236,15556
12:04:01.12,4,3212,15268
12:04:01.15,-80,3272,15216
12:04:01.15,236,3208,15792
12:04:01.15,-28,3268,15556
12:04:01.19,-216,3264,15336
12:04:01.19,132,3320,15636
12:04:01.22,-92,3212,15240
12:04:01.22,80,3208,15544
12:04:01.22,76,3356,15780
12:04:01.26,-88,3136,15428
12:04:01.26,152,3300,15636
12:04:01.26,-28,3412,15448
12:04:01.29,0,3196,15320
12:04:01.29,72,3220,15420
12:04:01.33,-44,3376,15544
12:04:01.33,100,3204,15696
12:04:01.33,44,3260,15340
12:04:01.36,-128,3372,15404
12:04:01.36,52,3116,15480
12:04:01.36,-12,3268,15440
12:04:01.40,-60,3300,15512
12:04:01.40,200,3232,15624
12:04:01.40,48,3164,15476
12:04:01.43,-16,3288,15288
12:04:01.43,156,3264,15712
12:04:01.47,-40,3248,15268
12:04:01.47,44,3224,15420
12:04:01.47,-24,3340,15600
12:04:01.50,-40,3176,15360
12:04:01.50,0,3108,15440
12:04:01.53,4,3332,15392
12:04:01.53,-108,3168,15420
12:04:01.53,164,3208,15364
12:04:01.57,-96,3360,15500
12:04:01.57,0,3128,15596
12:04:01.60,-88,3284,15336
12:04:01.60,-68,3168,15376
12:04:01.60,204,3144,15456
12:04:01.64,0,3204,15396
12:04:01.64,-84,3168,15464
12:04:01.64,92,3236,15552
12:04:01.67,-136,3160,15276
12:04:01.67,104,3256,15364
12:04:01.67,64,3364,15532
12:04:01.70,-80,3288,15508
12:04:01.70,-132,3292,15540
12:04:01.74,0,3316,15500
12:04:01.74,64,3260,15532
12:04:01.74,92,3288,15532
12:04:01.77,-116,3412,15456
12:04:01.77,76,3208,15488
12:04:01.80,-64,3200,15356
12:04:01.80,-16,3220,15444
12:04:01.80,116,3204,15600
12:04:01.84,-52,3140,15484
12:04:01.84,84,3240,15352
12:04:01.87,40,3244,15364
12:04:01.87,-72,3156,15412
12:04:01.87,192,3184,15632
12:04:01.91,180,3332,15652
12:04:01.91,-36,3224,15336
12:04:01.91,64,3240,15264
12:04:01.94,116,3436,15608
12:04:01.94,0,3292,15580
12:04:01.98,-20,3356,15596
12:04:01.98,-8,3296,15528
12:04:01.98,28,3144,15496
12:04:02.01,-164,3348,15328
12:04:02.01,72,3328,15592
12:04:02.01,108,3200,15528
12:04:02.05,-24,3140,15464
12:04:02.05,-52,3256,15356
12:04:02.08,140,3072,15512
12:04:02.08,72,3116,15304
12:04:02.08,-96,3324,15304
12:04:02.11,52,3204,15620
12:04:02.11,-140,3072,15496
12:04:02.15,-48,3164,15456
12:04:02.15,120,3264,15752
12:04:02.15,-52,3352,15028
12:04:02.19,200,3000,15720
12:04:02.19,28,3324,15316
12:04:02.19,-428,3060,15764
12:04:02.22,148,3136,15424
12:04:02.22,-256,3332,15732
