time,x,y,z
12:11:11.67,-3268,5004,14880
12:11:11.67,-1072,5700,14968
12:11:11.67,-1608,5160,13928
12:11:11.70,-1808,5224,15540
12:11:11.70,-420,4856,15356
12:11:11.74,-3164,5124,15204
12:11:11.74,-1080,5116,15464
12:11:11.74,-2132,5356,14632
12:11:11.77,-1576,4724,15564
12:11:11.77,-660,4720,14808
12:11:11.77,-3216,5004,15356
12:11:11.80,-1048,5056,16048
12:11:11.80,-1668,4924,14148
12:11:11.84,-1992,4320,15644
12:11:11.84,188,4628,14408
12:11:11.87,-3292,4668,14964
12:11:11.87,-836,4636,15348
12:11:11.87,-2248,5068,14444
12:11:11.91,-1540,4668,15564
12:11:11.91,-576,4620,15220
12:11:11.95,-2716,4892,14128
12:11:11.95,-1064,4740,15712
12:11:11.95,-2112,4980,13664
12:11:11.98,-1520,4884,15736
12:11:11.98,-544,4684,14884
12:11:11.98,-3128,4564,14928
12:11:12.01,-800,4924,14924
12:11:12.01,-2384,5152,14064
12:11:12.05,-1288,4928,15344
12:11:12.05,-884,4376,14264
12:11:12.08,-2724,4736,14616
12:11:12.08,-496,5168,14856
12:11:12.08,-2556,5028,13796
12:11:12.12,-1028,4968,14768
12:11:12.12,-836,4756,13712
12:11:12.15,-2788,4888,14660
12:11:12.15,-900,5324,14216
12:11:12.15,-2636,4480,15096
12:11:12.19,-1116,4112,16164
12:11:12.19,-1912,4412,15764
12:11:12.22,-1916,4984,16128
12:11:12.22,-1440,4992,15740
12:11:12.22,-2212,5048,14916
12:11:12.26,-80,4904,16176
12:11:12.26,-232,3820,14524
12:11:12.29,-1948,4784,15952
12:11:12.29,-284,4860,13736
12:11:12.29,-3236,4560,15660
12:11:12.33,164,4716,15048
12:11:12.33,-2404,4832,15080
12:11:12.33,-1752,4684,15712
12:11:12.36,-2960,4436,16056
12:11:12.36,-3028,4972,15304
12:11:12.39,-1296,4476,16160
12:11:12.39,-2672,4712,15144
12:11:12.43,-420,5548,15644
12:11:12.43,-1532,4408,14400
12:11:12.43,-1808,4468,15332
12:11:12.46,-76,4364,14852
12:11:12.46,-2540,4904,14960
12:11:12.50,-516,5152,15072
