time,x,y,z
12:10:01.93,4312,-2132,18328
12:10:01.93,2892,-2316,14900
12:10:01.97,4260,-1596,18012
12:10:01.97,2900,-2880,14636
12:10:01.97,3444,-1696,17772
12:10:02.00,2644,-2076,15540
12:10:02.00,3720,-1608,17184
12:10:02.00,2540,-2184,15584
12:10:02.04,2312,-1500,16644
12:10:02.04,3284,-1336,17692
12:10:02.07,2512,-656,14300
12:10:02.07,2960,-424,15884
12:10:02.11,1980,-204,15380
12:10:02.11,2628,84,16620
12:10:02.11,2332,772,15412
12:10:02.14,2068,696,15784
12:10:02.14,3028,1368,15680
12:10:02.17,1600,-4,16680
12:10:02.17,2128,1852,14548
12:10:02.17,2564,1208,16816
12:10:02.21,2784,1984,14848
12:10:02.21,3220,2568,19352
12:10:02.21,2156,2044,15984
12:10:02.24,2980,1240,16152
12:10:02.24,2464,1864,15580
12:10:02.28,2656,1548,16020
12:10:02.28,2828,1924,16152
12:10:02.31,3320,1256,15448
12:10:02.31,2668,1840,16684
12:10:02.31,3540,1448,15132
12:10:02.34,2788,1812,17476
12:10:02.34,4164,2084,14404
12:10:02.38,1580,1916,16372
12:10:02.38,4600,1116,16160
12:10:02.38,4512,2220,17548
12:10:02.42,2604,1468,13188
12:10:02.42,2892,1900,17232
12:10:02.45,3908,1216,15984
12:10:02.45,4576,1872,16396
12:10:02.45,3560,2012,14764
12:10:02.48,3352,1224,17724
12:10:02.48,2704,1996,14576
12:10:02.52,2892,1820,16496
12:10:02.52,3960,2008,15428
12:10:02.52,4152,1508,15040
12:10:02.55,3944,1096,18216
12:10:02.55,4752,2060,13896
12:10:02.59,3244,2028,17492
12:10:02.59,5348,1884,14044
12:10:02.62,4648,1620,18712
12:10:02.62,4780,1908,13692
12:10:02.62,4204,2196,17260
12:10:02.65,4784,1464,14472
12:10:02.65,4968,2372,17244
12:10:02.69,4772,1568,15464
12:10:02.69,4828,1976,16852
12:10:02.72,4260,2256,15720
12:10:02.72,5228,2052,16208
12:10:02.72,5080,1984,15984
12:10:02.76,5528,1780,16104
12:10:02.76,4756,1572,16700
12:10:02.76,5300,1952,15268
12:10:02.79,5240,2156,16764
12:10:02.79,5428,2044,15196
12:10:02.83,5620,2440,15860
12:10:02.83,5320,2396,15668
12:10:02.86,5160,2700,15380
12:10:02.86,4732,3160,14924
12:10:02.86,5316,3068,15648
12:10:02.90,4428,3436,16500
12:10:02.90,3808,3036,15500
12:10:02.93,3680,3308,16196
12:10:02.93,4456,3336,14588
12:10:02.97,4168,4052,15340
12:10:02.97,4924,3472,14032
12:10:02.97,5456,2924,15744
12:10:03.00,5256,3280,15316
12:10:03.00,4132,3900,13520
12:10:03.00,5640,3788,16912
12:10:03.03,5760,3364,15172
12:10:03.03,6176,3596,17540
12:10:03.07,3800,4528,13052
12:10:03.07,1588,4456,16736
12:10:03.10,6200,2396,16000
12:10:03.10,3588,3808,19560
12:10:03.10,4164,3944,12900
12:10:03.14,3136,5300,19124
12:10:03.14,5528,2816,13124
12:10:03.17,4648,4112,18668
12:10:03.17,5656,2516,14228
12:10:03.17,4428,4596,17832
12:10:03.21,4416,3920,14148
12:10:03.21,5396,3968,15788
12:10:03.24,5620,3600,14356
12:10:03.24,5436,3900,15128
12:10:03.24,4996,4256,14952
12:10:03.28,5436,4224,15720
12:10:03.28,5116,3708,14288
12:10:03.31,5032,3756,14564
12:10:03.31,3908,4136,12320
12:10:03.35,3240,2876,16892
12:10:03.35,2812,1300,16248
12:10:03.35,6012,3344,15848
12:10:03.38,3200,4776,16692
12:10:03.38,5292,4164,15928
12:10:03.38,4056,4048,12480
12:10:03.42,5644,2468,17540
12:10:03.42,5788,2212,15572
12:10:03.45,4148,3860,13704
12:10:03.45,4888,4776,18868
12:10:03.49,4692,3636,13144
12:10:03.49,5280,2896,15108
12:10:03.49,5232,3216,15080
12:10:03.53,4896,3792,17376
12:10:03.53,4484,4284,16612
12:10:03.53,4324,3204,15184
12:10:03.56,5616,2608,16212
12:10:03.56,5392,3292,17752
12:10:03.59,4684,3568,14160
12:10:03.59,4304,4628,18544
12:10:03.63,5580,2876,13280
12:10:03.63,5628,3420,17620
12:10:03.63,4880,3224,13620
12:10:03.66,4244,4440,17620
12:10:03.66,5040,3216,14720
12:10:03.71,4748,3284,15348
12:10:03.71,4728,3556,15752
12:10:03.71,4736,3952,15748
12:10:03.74,4236,3756,15408
12:10:03.74,5164,3068,15112
12:10:03.74,5508,2704,14888
12:10:03.77,4664,3468,14296
12:10:03.77,4980,3304,14424
12:10:03.81,5064,3752,16432
12:10:03.81,4360,2792,13316
12:10:03.85,5808,3384,19280
12:10:03.85,4028,3516,10660
12:10:03.85,5132,4116,18372
12:10:03.88,5780,2588,13528
12:10:03.88,4712,3292,14348
12:10:03.91,5052,3668,16680
12:10:03.91,5600,3540,15376
12:10:03.94,4740,3796,16472
12:10:03.94,4328,2640,15392
12:10:03.94,5396,3264,16172
12:10:03.98,4584,3792,14392
12:10:03.98,5068,3680,16088
12:10:04.02,5196,3364,15764
12:10:04.02,5068,2764,15336
12:10:04.02,5020,3536,16904
12:10:04.05,5116,3436,14696
12:10:04.05,4720,4040,17044
12:10:04.05,5596,2572,14644
12:10:04.09,5740,2828,16944
12:10:04.09,5344,3280,14416
12:10:04.12,5168,3972,16544
12:10:04.12,5152,3400,14924
12:10:04.16,5576,2624,16832
12:10:04.16,5252,2916,16536
12:10:04.16,4812,4144,15648
12:10:04.19,4368,3972,14792
12:10:04.19,5352,3188,14608
12:10:04.23,5604,2196,16248
12:10:04.23,5256,2836,15420
12:10:04.23,4212,3700,15452
12:10:04.27,3928,3676,13580
12:10:04.27,5084,2968,16672
12:10:04.30,5144,1992,15168
12:10:04.30,4596,3048,16028
12:10:04.30,3552,3384,15764
12:10:04.33,4716,3180,15428
12:10:04.33,5008,2516,15660
12:10:04.37,5344,2160,15452
12:10:04.37,4548,3168,16460
12:10:04.41,4016,3560,15188
12:10:04.41,4816,2664,16188
12:10:04.41,4808,2132,14300
12:10:04.44,5256,2924,16256
12:10:04.44,4444,2868,14628
12:10:04.48,4028,2716,17284
12:10:04.48,5100,2036,14528
12:10:04.48,5272,2876,16748
12:10:04.51,4896,3116,14568
12:10:04.51,5008,3196,17284
12:10:04.51,4864,2416,14296
12:10:04.55,5472,2060,17132
12:10:04.55,4732,2804,15028
12:10:04.58,5004,3248,17824
12:10:04.58,4336,3044,14100
12:10:04.61,5604,2812,16992
12:10:04.61,5236,2204,13592
12:10:04.61,5736,3124,18852
12:10:04.65,3864,3420,12720
12:10:04.65,5060,3788,17248
12:10:04.68,5472,2788,15440
12:10:04.68,4260,3756,16144
12:10:04.71,4036,4604,16192
12:10:04.71,1984,4400,13336
12:10:04.71,4452,3468,15740
12:10:04.75,3196,2640,14732
12:10:04.75,3240,4096,14560
12:10:04.78,3184,4124,15068
12:10:04.78,2164,4312,15448
12:10:04.82,2776,3484,13632
12:10:04.82,3028,3244,16948
12:10:04.82,3260,4016,13476
12:10:04.85,2204,4136,16828
12:10:04.85,3072,2988,14836
12:10:04.85,1872,3216,15872
12:10:04.89,2984,3544,15880
12:10:04.89,3016,4076,15836
12:10:04.92,2412,3884,16032
12:10:04.92,2652,3048,15304
12:10:04.95,3188,3196,16280
12:10:04.95,2996,3768,15792
12:10:04.95,2864,3936,15812
12:10:04.99,3236,3692,14932
12:10:04.99,3312,3092,16264
12:10:05.03,2772,3228,15032
12:10:05.03,3452,3840,16896
12:10:05.03,3464,3888,14756
12:10:05.06,3652,3112,17080
12:10:05.06,3636,3040,14512
12:10:05.10,3348,3804,16624
12:10:05.10,3904,3380,14880
12:10:05.10,3916,3716,15960
12:10:05.13,3996,3520,15344
12:10:05.13,3236,3716,15172
12:10:05.16,3900,3784,16748
12:10:05.16,3416,3956,15548
12:10:05.20,4136,3912,15804
12:10:05.20,3348,3780,15676
12:10:05.20,3908,3960,16756
12:10:05.23,3220,3860,14664
12:10:05.23,3760,4000,16028
12:10:05.26,3712,3860,15032
12:10:05.26,3736,3976,15400
12:10:05.30,3804,4080,15640
12:10:05.30,3688,4052,15580
12:10:05.30,3440,4128,15252
12:10:05.34,3396,4264,15164
12:10:05.34,3392,4168,15852
12:10:05.34,2888,3832,15328
12:10:05.37,3180,3840,15868
12:10:05.37,2400,3956,15052
12:10:05.40,2944,3724,15888
12:10:05.40,2628,3272,15624
12:10:05.40,2704,3360,16008
12:10:05.44,2944,3200,15684
12:10:05.44,2800,3708,16036
12:10:05.47,2884,3512,15020
12:10:05.47,2744,3264,16252
12:10:05.50,2564,3288,14596
12:10:05.50,2604,3704,16944
12:10:05.50,2176,3596,14676
12:10:05.54,1884,3632,16160
12:10:05.54,1868,3180,15056
12:10:05.58,2048,3580,16576
12:10:05.58,1744,3592,15216
12:10:05.58,1616,3424,16088
12:10:05.61,2192,3424,15348
12:10:05.61,1564,3320,15316
12:10:05.64,2008,3392,15828
12:10:05.64,1460,3328,15420
12:10:05.64,1716,3224,15740
12:10:05.68,1332,3072,15308
12:10:05.68,1336,3028,16024
12:10:05.71,1192,3284,14912
12:10:05.71,720,2848,16676
12:10:05.71,1208,2896,14660
12:10:05.75,556,2768,16800
12:10:05.75,1140,2456,15220
12:10:05.75,764,2884,16564
12:10:05.79,1116,2668,14900
12:10:05.79,832,2460,16440
12:10:05.82,1292,2808,14972
12:10:05.82,236,2896,15864
12:10:05.85,828,2684,14684
12:10:05.85,244,2556,15708
12:10:05.85,320,2588,14660
12:10:05.89,-268,2464,15208
12:10:05.89,240,2636,14812
12:10:05.92,-496,2444,15548
12:10:05.92,436,2348,14276
12:10:05.92,-648,2516,15952
12:10:05.96,696,2612,15368
12:10:05.96,-360,2560,15308
12:10:05.99,512,2624,16196
12:10:05.99,368,2732,14960
12:10:06.02,468,2616,16584
12:10:06.02,216,2732,15364
12:10:06.02,864,2796,16068
12:10:06.06,268,2624,14720
12:10:06.06,656,2444,15888
12:10:06.09,324,2636,15796
12:10:06.09,-68,2408,16616
12:10:06.09,248,2736,15204
12:10:06.13,-156,2792,16488
12:10:06.13,636,2464,15216
12:10:06.13,-236,2692,16500
12:10:06.16,344,2960,14964
12:10:06.16,-456,2728,16140
12:10:06.20,484,2644,14736
