time,x,y,z
12:04:58.90,892,2660,13068
12:04:58.90,-672,2504,17552
12:04:58.90,76,3248,16552
12:04:58.93,544,3096,14188
12:04:58.93,-1024,2992,15948
12:04:58.97,148,2656,15504
12:04:58.97,172,2576,14512
12:04:58.97,632,2624,15080
12:04:59.00,-896,3500,16988
12:04:59.00,612,3016,13712
12:04:59.05,-712,2208,16408
12:04:59.05,124,2856,16108
12:04:59.05,416,3208,14452
12:04:59.07,-148,2956,16028
12:04:59.07,-428,3064,16340
12:04:59.07,364,3016,14184
12:04:59.11,140,2512,15928
12:04:59.11,-348,3480,16976
12:04:59.14,856,3376,13588
12:04:59.14,-392,2824,16060
12:04:59.14,200,2852,15972
12:04:59.18,524,3400,14336
12:04:59.18,308,3044,15752
12:04:59.21,-844,3356,16936
12:04:59.21,176,3276,14044
12:04:59.25,-116,2572,15708
12:04:59.25,-332,3220,16780
12:04:59.25,388,3360,14136
12:04:59.28,-268,2896,15780
12:04:59.28,-84,3392,16856
12:04:59.28,1048,3400,13912
12:04:59.32,452,3092,15484
12:04:59.32,-456,3360,17240
12:04:59.35,732,3080,13640
12:04:59.35,-312,2736,16228
12:04:59.35,-444,3300,17080
12:04:59.38,704,3536,13548
12:04:59.38,-996,3032,16356
12:04:59.42,-256,3692,16972
12:04:59.42,600,3400,14496
12:04:59.42,28,3076,15576
12:04:59.45,-508,3928,16868
12:04:59.45,684,3972,13416
12:04:59.49,260,3008,15020
12:04:59.49,-416,3464,16408
12:04:59.53,832,3760,13944
12:04:59.53,-316,3456,15548
12:04:59.53,-528,3876,16276
12:04:59.56,864,3956,13008
12:04:59.56,-84,2844,16092
12:04:59.56,128,4200,16172
12:04:59.60,696,4300,13244
12:04:59.60,-740,3688,15876
12:04:59.63,420,4348,15876
12:04:59.63,444,3968,13800
12:04:59.63,-360,3000,16828
12:04:59.67,-252,4636,17076
12:04:59.67,516,4504,14172
12:04:59.67,-232,3908,16112
12:04:59.70,564,3888,16560
12:04:59.70,544,3912,14748
12:04:59.74,844,3900,14964
12:04:59.74,-120,4192,17288
12:04:59.74,580,4588,14760
12:04:59.77,888,4140,15136
12:04:59.77,-540,4284,16560
12:04:59.77,1208,4036,14660
12:04:59.81,-52,4020,14952
12:04:59.81,-592,4168,16732
12:04:59.85,624,4488,14844
12:04:59.85,256,3756,15056
12:04:59.88,444,4032,16932
12:04:59.88,-260,4472,15280
12:04:59.88,304,4644,14064
12:04:59.91,-92,3916,16784
12:04:59.91,364,4568,14492
12:04:59.91,680,4440,13848
12:04:59.95,-492,4200,15592
12:04:59.95,-588,4424,15776
