time,x,y,z
12:03:10.77,-192,2640,15132
12:03:10.77,1212,3240,15348
12:03:10.77,104,3184,15320
12:03:10.81,708,3280,14412
12:03:10.81,796,3180,15352
12:03:10.84,160,3084,14484
12:03:10.84,576,3108,14528
12:03:10.84,212,3032,14892
12:03:10.88,236,2580,16228
12:03:10.88,840,2392,16024
12:03:10.88,308,2388,16776
12:03:10.91,704,2724,16376
12:03:10.91,272,3276,16724
12:03:10.95,764,3360,16964
12:03:10.95,1268,2592,16616
12:03:10.95,860,2132,16144
12:03:10.98,1152,2276,16680
12:03:10.98,960,2928,17020
12:03:11.02,588,3876,16052
12:03:11.02,1212,2992,15980
12:03:11.02,1316,2644,15608
12:03:11.05,1104,2920,15492
12:03:11.05,684,3144,15436
12:03:11.05,840,3256,15016
12:03:11.09,852,2920,14888
12:03:11.09,572,2776,14776
12:03:11.09,936,2988,14616
12:03:11.13,728,3364,14544
12:03:11.13,716,3052,14828
12:03:11.16,812,2708,14700
12:03:11.16,576,2884,14764
12:03:11.16,556,3076,15172
12:03:11.20,812,2956,15020
12:03:11.20,760,2908,15188
12:03:11.23,1072,2744,15336
12:03:11.23,852,2872,15248
12:03:11.26,776,3288,15216
12:03:11.26,700,3076,15368
12:03:11.26,788,2760,15204
12:03:11.26,648,2812,15192
12:03:11.30,344,2868,15744
12:03:11.30,648,2896,15564
12:03:11.34,332,3072,15804
12:03:11.34,436,2936,15640
12:03:11.34,408,2756,15852
12:03:11.37,580,3100,15592
12:03:11.37,328,3260,15752
12:03:11.41,476,2984,15696
12:03:11.41,516,2972,15476
12:03:11.41,516,2920,15960
12:03:11.44,808,3104,15340
12:03:11.44,808,3244,15912
12:03:11.47,876,3116,15720
12:03:11.47,740,2852,15936
12:03:11.47,760,3232,15692
12:03:11.51,420,3288,15780
12:03:11.51,920,3132,15360
12:03:11.54,836,2932,15744
12:03:11.54,932,2848,15160
12:03:11.54,484,2660,16004
12:03:11.57,1120,3104,15556
12:03:11.57,776,3260,15892
12:03:11.57,700,2988,15640
12:03:11.61,1324,2968,15080
12:03:11.61,660,2772,16432
12:03:11.64,1072,3300,14816
12:03:11.64,552,3276,15764
12:03:11.68,800,2632,15896
12:03:11.68,1512,3112,14512
12:03:11.68,64,2860,16728
12:03:11.71,1500,3720,14028
12:03:11.71,180,2792,16524
12:03:11.75,1372,4392,14296
12:03:11.75,92,3968,14744
12:03:11.75,940,2452,17456
12:03:11.78,432,3804,13740
12:03:11.78,-152,3960,15632
12:03:11.81,1092,4188,15520
12:03:11.81,52,4052,14180
12:03:11.81,696,4208,15716
12:03:11.85,-60,4244,15312
12:03:11.85,-336,3528,14640
12:03:11.85,848,3996,15504
12:03:11.89,768,4800,16232
12:03:11.89,32,4568,14212
12:03:11.92,428,3808,14868
12:03:11.92,96,4308,16008
12:03:11.92,340,4540,15712
12:03:11.96,388,4400,14128
12:03:11.96,716,3732,14780
12:03:11.96,112,4220,16268
12:03:11.99,-548,5784,15336
12:03:11.99,276,5016,14592
