ax:320	ay:3372	ax:15796	gx:54	gy:-191	gz:-112
12:04:00.649 -> a/g:	ax:-272	ay:3236	ax:15412	gx:40	gy:231	gz:-195
12:04:00.649 -> a/g:	ax:340	ay:3244	ax:15424	gx:73	gy:-62	gz:-169
12:04:00.680 -> a/g:	ax:-72	ay:3232	ax:15084	gx:-46	gy:98	gz:-130
12:04:00.680 -> a/g:	ax:48	ay:3096	ax:15508	gx:-10	gy:101	gz:-194
12:04:00.680 -> a/g:	ax:-108	ay:3284	ax:15536	gx:11	gy:158	gz:-154
12:04:00.713 -> a/g:	ax:-44	ay:3120	ax:15592	gx:60	gy:59	gz:-184
12:04:00.713 -> a/g:	ax:44	ay:3184	ax:15356	gx:20	gy:-5	gz:-160
12:04:00.746 -> a/g:	ax:172	ay:3360	ax:15568	gx:-26	gy:174	gz:-153
12:04:00.746 -> a/g:	ax:-32	ay:3244	ax:15440	gx:14	gy:73	gz:-149
12:04:00.746 -> a/g:	ax:-108	ay:3216	ax:15532	gx:22	gy:229	gz:-194
12:04:00.782 -> a/g:	ax:28	ay:3304	ax:15500	gx:18	gy:63	gz:-131
12:04:00.782 -> a/g:	ax:-124	ay:3312	ax:15476	gx:48	gy:50	gz:-178
12:04:00.813 -> a/g:	ax:192	ay:3216	ax:15496	gx:-10	gy:137	gz:-145
12:04:00.813 -> a/g:	ax:16	ay:3384	ax:15456	gx:-13	gy:64	gz:-194
12:04:00.813 -> a/g:	ax:-64	ay:3244	ax:15588	gx:30	gy:145	gz:-124
12:04:00.847 -> a/g:	ax:-36	ay:3344	ax:15596	gx:11	gy:92	gz:-142
12:04:00.847 -> a/g:	ax:-12	ay:3360	ax:15360	gx:88	gy:-18	gz:-151
12:04:00.879 -> a/g:	ax:160	ay:3268	ax:15516	gx:-20	gy:207	gz:-130
12:04:00.879 -> a/g:	ax:84	ay:3200	ax:15448	gx:-20	gy:78	gz:-163
12:04:00.879 -> a/g:	ax:-8	ay:3376	ax:15376	gx:48	gy:129	gz:-126
12:04:00.913 -> a/g:	ax:20	ay:3112	ax:15516	gx:-18	gy:130	gz:-168
12:04:00.913 -> a/g:	ax:-180	ay:3192	ax:15312	gx:23	gy:-60	gz:-186
12:04:00.913 -> a/g:	ax:44	ay:3300	ax:15208	gx:40	gy:129	gz:-153
12:04:00.948 -> a/g:	ax:204	ay:3260	ax:15720	gx:-16	gy:167	gz:-181
12:04:00.948 -> a/g:	ax:-28	ay:3252	ax:15556	gx:-12	gy:47	gz:-169
12:04:00.980 -> a/g:	ax:-32	ay:3136	ax:15520	gx:25	gy:156	gz:-204
12:04:00.980 -> a/g:	ax:148	ay:3204	ax:15616	gx:13	gy:116	gz:-173
12:04:00.980 -> a/g:	ax:32	ay:3240	ax:15268	gx:47	gy:-25	gz:-207
12:04:01.018 -> a/g:	ax:36	ay:3276	ax:15600	gx:-48	gy:316	gz:-202
12:04:01.018 -> a/g:	ax:-104	ay:3384	ax:15548	gx:24	gy:-35	gz:-162
12:04:01.052 -> a/g:	ax:-132	ay:3144	ax:15456	gx:33	gy:170	gz:-162
12:04:01.052 -> a/g:	ax:68	ay:3300	ax:15516	gx:13	gy:74	gz:-153
12:04:01.052 -> a/g:	ax:4	ay:3376	ax:15548	gx:9	gy:76	gz:-140
12:04:01.084 -> a/g:	ax:-8	ay:3240	ax:15536	gx:21	gy:122	gz:-175
12:04:01.084 -> a/g:	ax:40	ay:3256	ax:15488	gx:-27	gy:116	gz:-130
12:04:01.084 -> a/g:	ax:-44	ay:3324	ax:15456	gx:11	gy:16	gz:-165
12:04:01.119 -> a/g:	ax:44	ay:3236	ax:15556	gx:21	gy:179	gz:-170
12:04:01.119 -> a/g:	ax:4	ay:3212	ax:15268	gx:12	gy:-6	gz:-143
