time	x	y	z
12:11:11.67	-3268	ay:5004	14880
12:11:11.67	-1072	ay:5700	14968
12:11:11.67	-1608	ay:5160	13928
12:11:11.70	-1808	ay:5224	15540
12:11:11.70	-420	ay:4856	15356
12:11:11.74	-3164	ay:5124	15204
12:11:11.74	-1080	ay:5116	15464
12:11:11.74	-2132	ay:5356	14632
12:11:11.77	-1576	ay:4724	15564
12:11:11.77	-660	ay:4720	14808
12:11:11.77	-3216	ay:5004	15356
12:11:11.80	-1048	ay:5056	16048
12:11:11.80	-1668	ay:4924	14148
12:11:11.84	-1992	ay:4320	15644
12:11:11.84	188	ay:4628	14408
12:11:11.87	-3292	ay:4668	14964
12:11:11.87	-836	ay:4636	15348
12:11:11.87	-2248	ay:5068	14444
12:11:11.91	-1540	ay:4668	15564
12:11:11.91	-576	ay:4620	15220
12:11:11.95	-2716	ay:4892	14128
12:11:11.95	-1064	ay:4740	15712
12:11:11.95	-2112	ay:4980	13664
12:11:11.98	-1520	ay:4884	15736
12:11:11.98	-544	ay:4684	14884
12:11:11.98	-3128	ay:4564	14928
12:11:12.01	-800	ay:4924	14924
12:11:12.01	-2384	ay:5152	14064
12:11:12.05	-1288	ay:4928	15344
12:11:12.05	-884	ay:4376	14264
12:11:12.08	-2724	ay:4736	14616
12:11:12.08	-496	ay:5168	14856
12:11:12.08	-2556	ay:5028	13796
12:11:12.12	-1028	ay:4968	14768
12:11:12.12	-836	ay:4756	13712
12:11:12.15	-2788	ay:4888	14660
12:11:12.15	-900	ay:5324	14216
12:11:12.15	-2636	ay:4480	15096
12:11:12.19	-1116	ay:4112	16164
12:11:12.19	-1912	ay:4412	15764
12:11:12.22	-1916	ay:4984	16128
12:11:12.22	-1440	ay:4992	15740
12:11:12.22	-2212	ay:5048	14916
12:11:12.26	-80	ay:4904	16176
12:11:12.26	-232	ay:3820	14524
12:11:12.29	-1948	ay:4784	15952
12:11:12.29	-284	ay:4860	13736
12:11:12.29	-3236	ay:4560	15660
12:11:12.33	164	ay:4716	15048
12:11:12.33	-2404	ay:4832	15080
12:11:12.33	-1752	ay:4684	15712
12:11:12.36	-2960	ay:4436	16056
12:11:12.36	-3028	ay:4972	15304
12:11:12.39	-1296	ay:4476	16160
12:11:12.39	-2672	ay:4712	15144
12:11:12.43	-420	ay:5548	15644
12:11:12.43	-1532	ay:4408	14400
12:11:12.43	-1808	ay:4468	15332
12:11:12.46	-76	ay:4364	14852
12:11:12.46	-2540	ay:4904	14960
12:11:12.50	-516	ay:5152	15072
12:11:12.50	-2712	ay:4592	14660
12:11:12.50	-2220	ay:4680	14664
12:11:12.53	-1800	ay:4768	14912
12:11:12.53	-3820	ay:4992	15444
12:11:12.53	-1808	ay:4568	14276
12:11:12.57	-3628	ay:4448	14672
12:11:12.57	-1796	ay:4644	15224
12:11:12.60	-3276	ay:5020	14324
12:11:12.60	-1616	ay:4948	14452
12:11:12.64	-1952	ay:4636	14064
12:11:12.64	-2976	ay:4940	14696
12:11:12.64	-1188	ay:5112	14232
12:11:12.67	-3608	ay:4320	14524
12:11:12.67	-1384	ay:5372	14388
12:11:12.70	-2940	ay:4672	14724
12:11:12.70	-1940	ay:5620	14816
12:11:12.74	-2036	ay:5612	14764
12:11:12.74	-2748	ay:5708	14420
12:11:12.74	-1996	ay:5232	14668
12:11:12.77	-2936	ay:5648	14648
12:11:12.77	-740	ay:5736	14100
12:11:12.80	-3360	ay:4972	15252
12:11:12.80	-488	ay:5756	14176
12:11:12.80	-2912	ay:5424	15920
12:11:12.83	-812	ay:6484	14260
12:11:12.83	-1544	ay:5924	15052
12:11:12.87	-2160	ay:6588	14532
12:11:12.87	-1716	ay:5764	14100
12:11:12.90	-2628	ay:6260	14476
12:11:12.90	-2224	ay:6436	14180
12:11:12.90	-2556	ay:6148	15244
12:11:12.93	-2296	ay:6448	13400
12:11:12.93	-2656	ay:5752	15808
12:11:12.97	-2696	ay:5612	14532
12:11:12.97	-1856	ay:6160	15080
12:11:13.00	-888	ay:5956	13584
12:11:13.00	-2472	ay:5544	16328
12:11:13.00	-1392	ay:5872	14036
12:11:13.04	-1872	ay:5436	15048
12:11:13.04	-1004	ay:5664	14984
12:11:13.07	-2388	ay:6072	15596
12:11:13.07	-1272	ay:5944	14628
12:11:13.11	-3112	ay:5892	15676
12:11:13.11	-1944	ay:6000	14152
12:11:13.11	-2200	ay:5624	14996
12:11:13.15	-1980	ay:5716	14404
12:11:13.15	-2924	ay:5892	15440
12:11:13.15	-2460	ay:5672	14140
12:11:13.18	-2268	ay:6164	15096
12:11:13.18	-1016	ay:5448	14044
12:11:13.21	-3032	ay:5548	15388
12:11:13.21	-1412	ay:5512	14388
12:11:13.25	-2472	ay:5408	15768
12:11:13.25	-1680	ay:5684	13980
12:11:13.25	-1492	ay:5784	15104
12:11:13.29	-2268	ay:5616	14676
12:11:13.29	-1512	ay:5576	15092
12:11:13.29	-2456	ay:5756	14448
12:11:13.32	-1600	ay:6084	13896
12:11:13.32	-2160	ay:5400	14284
12:11:13.36	-2228	ay:5264	14500
12:11:13.36	-2628	ay:6276	14264
12:11:13.36	-728	ay:5696	12920
12:11:13.40	-4028	ay:5784	16344
12:11:13.40	-1112	ay:5892	12772
12:11:13.43	-1988	ay:5044	15220
12:11:13.43	-3500	ay:5836	15140
12:11:13.46	-904	ay:5596	14396
12:11:13.46	-2484	ay:5580	14836
12:11:13.46	-1264	ay:5100	15352
12:11:13.50	-2464	ay:5664	15164
12:11:13.50	-1004	ay:5764	14196
12:11:13.53	-2540	ay:5756	15508
12:11:13.53	-1096	ay:5436	14148
12:11:13.53	-2532	ay:5424	16280
12:11:13.56	-2204	ay:6200	14216
12:11:13.56	-1444	ay:5884	15924
12:11:13.60	-3112	ay:5900	15916
12:11:13.60	-712	ay:5580	14164
12:11:13.63	-2636	ay:5548	17140
12:11:13.63	-472	ay:5768	13024
12:11:13.63	-2352	ay:5508	16892
12:11:13.66	-656	ay:5860	13360
12:11:13.66	-1252	ay:5196	15660
12:11:13.70	-2020	ay:5776	15716
12:11:13.70	0	ay:6156	13508
12:11:13.70	-2880	ay:6044	16556
12:11:13.74	-1152	ay:5976	12640
12:11:13.74	-2340	ay:5488	15764
12:11:13.77	-1388	ay:5960	14072
12:11:13.77	-680	ay:5504	14232
12:11:13.77	-2980	ay:5828	15980
12:11:13.80	-172	ay:5716	12500
12:11:13.80	-2808	ay:5056	16576
12:11:13.84	-992	ay:5764	12848
12:11:13.84	-1480	ay:5348	15580
12:11:13.87	-2948	ay:5488	16032
12:11:13.87	-880	ay:5232	13396
12:11:13.87	-2956	ay:5640	16652
12:11:13.91	-876	ay:5784	12956
12:11:13.91	-2184	ay:5744	15884
12:11:13.94	-1436	ay:5936	13476
12:11:13.94	-1312	ay:5232	13828
12:11:13.94	-2592	ay:5256	16456
12:11:13.97	-1256	ay:6232	12960
12:11:13.97	-960	ay:5432	15028
12:11:14.01	-2432	ay:5188	15032
12:11:14.01	-520	ay:5872	13140
12:11:14.04	-2496	ay:5732	16772
12:11:14.04	-1572	ay:6164	13416
12:11:14.04	-704	ay:5976	13688
12:11:14.07	-2784	ay:5348	15988
12:11:14.07	-616	ay:5892	13588
12:11:14.11	-2164	ay:5736	15380
12:11:14.11	-2048	ay:5988	14460
12:11:14.14	-712	ay:5752	13824
12:11:14.14	-2392	ay:5608	15584
12:11:14.14	-972	ay:6216	14672
12:11:14.18	-844	ay:6164	13820
12:11:14.18	-2500	ay:6020	16760
12:11:14.21	-556	ay:6404	13232
12:11:14.21	-1388	ay:6016	14876
12:11:14.21	-1888	ay:6316	16000
12:11:14.24	-1072	ay:6944	12916
12:11:14.24	-1116	ay:5628	15264
12:11:14.28	-2376	ay:5784	16836
12:11:14.28	-296	ay:6700	12080
12:11:14.28	-2160	ay:5776	16084
12:11:14.31	-2176	ay:6940	15512
12:11:14.31	316	ay:7012	12376
12:11:14.35	-1472	ay:5724	16196
12:11:14.35	-1624	ay:6940	15444
12:11:14.39	284	ay:6756	12660
12:11:14.39	-1676	ay:5052	15820
12:11:14.39	-1716	ay:6060	15980
12:11:14.42	800	ay:7100	11776
12:11:14.42	-1688	ay:5600	15880
12:11:14.45	-924	ay:6508	15236
12:11:14.45	-76	ay:6176	12984
12:11:14.45	-936	ay:6220	15228
12:11:14.49	-2084	ay:5948	16492
12:11:14.49	80	ay:6992	12380
12:11:14.53	-972	ay:6024	16704
12:11:14.53	-1204	ay:6276	14828
12:11:14.53	744	ay:7308	12092
12:11:14.56	-1336	ay:5868	16212
12:11:14.56	-1432	ay:5932	15916
12:11:14.60	468	ay:6668	13752
12:11:14.60	-584	ay:6352	14444
12:11:14.60	-1556	ay:6328	16296
12:11:14.63	-80	ay:6504	14004
12:11:14.63	-368	ay:5964	14564
12:11:14.63	-1628	ay:6804	16196
12:11:14.66	-612	ay:6500	14020
12:11:14.66	-548	ay:6672	14520
12:11:14.70	-1332	ay:6404	15512
12:11:14.70	-1468	ay:6336	15040
12:11:14.70	376	ay:7240	13252
12:11:14.74	-1708	ay:6624	14508
12:11:14.74	-1264	ay:5940	15608
12:11:14.74	60	ay:6160	13052
