time	ax	ay	az	gx	gy	gz
12:03:10.77	-192	2640	15132	-14	329	-306
12:03:10.77	1212	3240	15348	-53	431	-136
12:03:10.77	104	3184	15320	174	-94	-157
12:03:10.81	708	3280	14412	177	274	-180
12:03:10.81	796	3180	15352	-82	37	-132
12:03:10.84	160	3084	14484	247	44	-223
12:03:10.84	576	3108	14528	150	479	-246
12:03:10.84	212	3032	14892	243	-198	-150
12:03:10.88	236	2580	16228	93	314	-211
12:03:10.88	840	2392	16024	165	-337	-247
12:03:10.88	308	2388	16776	81	381	-176
12:03:10.91	704	2724	16376	270	-260	-203
12:03:10.91	272	3276	16724	11	231	-199
12:03:10.95	764	3360	16964	74	-449	-206
12:03:10.95	1268	2592	16616	-219	142	-164
12:03:10.95	860	2132	16144	-34	-303	-161
12:03:10.98	1152	2276	16680	-170	461	-147
12:03:10.98	960	2928	17020	-130	-207	-136
12:03:11.02	588	3876	16052	-243	-174	-106
12:03:11.02	1212	2992	15980	-179	101	-143
12:03:11.02	1316	2644	15608	-384	378	-116
12:03:11.05	1104	2920	15492	-246	-74	-108
12:03:11.05	684	3144	15436	-258	255	-149
12:03:11.05	840	3256	15016	-347	226	-138
12:03:11.09	852	2920	14888	-264	-92	-162
12:03:11.09	572	2776	14776	-114	324	-153
12:03:11.09	936	2988	14616	-31	126	-156
12:03:11.13	728	3364	14544	-94	112	-188
12:03:11.13	716	3052	14828	-81	192	-222
12:03:11.16	812	2708	14700	12	201	-295
12:03:11.16	576	2884	14764	78	130	-244
12:03:11.16	556	3076	15172	100	271	-239
12:03:11.20	812	2956	15020	71	135	-280
12:03:11.20	760	2908	15188	44	183	-280
12:03:11.23	1072	2744	15336	121	220	-236
12:03:11.23	852	2872	15248	182	221	-249
12:03:11.26	776	3288	15216	162	183	-257
12:03:11.26	700	3076	15368	114	181	-209
12:03:11.26	788	2760	15204	83	382	-181
12:03:11.26	648	2812	15192	160	122	-149
12:03:11.30	344	2868	15744	116	449	-187
12:03:11.30	648	2896	15564	148	-5	-204
12:03:11.34	332	3072	15804	18	288	-167
12:03:11.34	436	2936	15640	103	18	-147
12:03:11.34	408	2756	15852	124	312	-174
12:03:11.37	580	3100	15592	123	38	-231
12:03:11.37	328	3260	15752	75	28	-162
12:03:11.41	476	2984	15696	72	153	-200
12:03:11.41	516	2972	15476	99	-58	-201
12:03:11.41	516	2920	15960	114	118	-214
12:03:11.44	808	3104	15340	88	-67	-200
12:03:11.44	808	3244	15912	18	-17	-187
12:03:11.47	876	3116	15720	23	-72	-173
12:03:11.47	740	2852	15936	75	31	-216
12:03:11.47	760	3232	15692	42	-21	-135
12:03:11.51	420	3288	15780	48	-109	-140
