time,x,y,z
0.000000,-0.054153,0.002517,0.038588
0.015905,0.036286,0.037398,0.077787
0.031809,0.312363,0.026076,0.007566
0.047714,0.464783,0.042678,0.032759
0.063618,0.479188,0.053985,-0.000460
0.079523,0.529984,0.068969,0.033918
0.095427,0.567155,0.090285,0.094801
0.111332,0.587678,0.090850,0.118956
0.127237,0.624284,0.087844,0.116072
0.143141,0.599931,0.096633,0.112822
0.159046,0.561082,0.091872,0.091856
0.174950,0.529801,0.100158,0.110746
0.190855,0.554154,0.096908,0.111525
0.206759,0.557008,0.081908,0.155973
0.222664,0.491257,0.076354,0.183699
0.238569,0.472153,0.057647,0.160688
0.254473,0.434663,0.029128,0.174726
0.270378,0.373521,0.037948,0.179701
0.286282,0.361512,0.004287,0.210691
0.302187,0.347489,-0.000688,0.250685
0.318091,0.337281,-0.006593,0.232161
0.333996,0.297791,-0.002915,0.218565
0.349901,0.220933,0.030257,0.219831
0.365805,0.182160,0.055358,0.191236
0.381710,0.166245,0.026824,0.228102
0.397614,0.167084,-0.003938,0.285978
0.413519,0.142731,-0.007081,0.276136
0.429423,0.130662,0.024169,0.153166
0.445328,0.082749,0.030135,0.066923
0.461233,-0.015945,-0.009324,0.145719
0.477137,-0.035964,-0.046693,0.199598
0.493042,0.052964,-0.046479,0.160124
0.508946,0.110612,-0.023271,0.090803
0.524851,-0.004760,-0.004395,0.008512
0.540755,-0.149200,-0.004304,0.088636
0.556660,-0.172775,-0.003922,0.109312
0.572565,-0.085571,0.001220,0.073683
0.588469,0.054795,-0.006715,0.088118
0.604374,0.013413,-0.003510,0.069273
0.620278,-0.132217,0.024962,0.072905
0.636183,-0.207977,0.047225,0.044096
0.652087,-0.225188,0.070403,0.006742
0.667992,-0.141067,0.040526,0.014967
0.683897,-0.145522,0.024520,0.071165
0.699801,-0.242538,0.043181,0.055433
0.715706,-0.281158,0.044219,-0.005648
0.731610,-0.284713,0.056243,-0.020540
0.747515,-0.114242,0.000197,0.035170
0.763419,-0.124313,0.002669,0.046019
0.779324,-0.176955,0.038070,0.030516
0.795229,-0.200484,0.048842,-0.033342
0.811133,-0.184524,0.057113,-0.031496
0.827038,-0.116561,0.013564,0.026960
0.842942,-0.144866,0.044387,0.049513
0.858847,-0.188430,0.066649,0.056608
0.874751,-0.234115,0.080703,0.041197
0.890656,-0.232299,0.067428,0.032667
0.906561,-0.195449,0.035888,0.046644
0.922465,-0.132796,0.008010,0.069899
0.938370,-0.156753,0.023314,0.073133
0.954274,-0.188171,0.040587,0.044416
0.970179,-0.099578,0.006026,-0.004168
0.986083,-0.160415,0.025619,0.003752
1.001988,-0.113952,-0.020051,0.070951
1.017893,-0.119140,-0.006928,0.089949
1.033797,-0.127181,0.020064,0.012861
1.049702,-0.098678,0.025359,0.009687
1.065606,-0.057067,0.006179,0.082792
1.081511,-0.125869,0.039245,0.080076
1.097415,-0.183547,0.067489,0.059950
1.113320,-0.176833,0.075500,0.059431
1.129225,-0.118224,0.053756,0.077742
1.145129,-0.033279,-0.015794,0.085676
1.161034,-0.109481,0.009002,0.101728
1.176938,-0.179443,0.034209,0.070921
1.192843,-0.186904,0.015883,0.056700
1.208747,-0.178451,-0.007356,0.095335
1.224652,-0.171752,-0.018922,0.108778
1.240557,-0.135696,-0.041154,0.056791
1.256461,-0.129928,-0.027131,0.035582
1.272366,-0.154906,-0.000291,-0.007937
1.288270,-0.150588,0.009444,-0.016619
1.304175,-0.166976,0.015487,0.003920
1.320079,-0.185302,0.041930,0.011503
1.335984,-0.149780,0.033324,-0.011217
1.351889,-0.160018,0.062758,0.006559
1.367793,-0.183257,0.078948,-0.003038
1.383698,-0.225021,0.104186,-0.031939
1.399602,-0.266113,0.127410,-0.019136
1.415507,-0.272506,0.123214,0.016722
1.431411,-0.283569,0.161574,-0.023195
1.447316,-0.282607,0.165694,-0.041887
1.463221,-0.272811,0.167098,-0.054659
1.479125,-0.096725,0.078216,-0.136736
1.495030,0.035279,0.012542,-0.090899
1.510934,0.080445,-0.007340,-0.029284
1.526839,-0.003417,0.043899,-0.009432
1.542743,-0.086715,0.073043,-0.042849
1.558648,0.028504,0.021041,-0.019640
1.574553,0.262315,-0.080873,0.011915
1.590457,0.381532,-0.113297,0.025816
1.606362,0.311921,-0.079316,0.035063
1.622266,0.027161,0.063842,0.095762
1.638171,-0.061599,0.088775,0.035047
1.654075,0.108765,-0.005433,-0.112612
1.669980,0.214906,-0.038239,-0.207399
1.685885,0.280366,-0.071961,-0.115831
1.701789,0.290147,-0.120835,-0.009707
1.717694,0.280442,-0.132295,-0.003161
1.733598,0.221528,-0.127488,0.046400
1.749503,0.188248,-0.109361,-0.033861
1.765407,0.121064,-0.001969,-0.181658
1.781312,0.166886,-0.009950,-0.159823
1.797217,0.238938,-0.069520,-0.025072
1.813121,0.176698,-0.086595,0.093916
1.829026,0.031800,0.066955,0.083296
1.844930,0.066331,-0.039430,-0.040407
1.860835,0.083741,0.009612,-0.206621
1.876739,0.091401,0.010421,-0.076723
1.892644,0.151673,-0.054856,-0.012850
1.908549,0.132615,-0.050294,0.038282
1.924453,0.143632,-0.053773,0.075666
1.940358,0.179353,-0.053193,-0.001696
1.956262,0.204545,-0.036317,0.008390
1.972167,0.161500,-0.003968,-0.026537
1.988071,0.135011,-0.000520,-0.112886
2.003976,0.087220,0.043380,-0.135317
2.019881,0.124573,0.021621,-0.139513
2.035785,0.199860,-0.022752,-0.053759
2.051690,0.219300,-0.024674,-0.088762
2.067594,0.089631,0.072219,-0.171160
2.083499,-0.020782,0.126647,-0.263765
2.099403,0.042191,0.102660,-0.245485
2.115308,0.135728,0.002700,-0.147249
2.131213,0.135819,-0.000428,-0.055254
2.147117,0.140794,-0.008683,-0.070131
2.163022,0.088303,0.033996,-0.174440
2.178926,0.084290,0.023330,-0.262056
2.194831,0.164582,-0.068437,-0.133455
2.210735,0.175401,-0.115952,0.037306
2.226640,0.209382,-0.131562,0.117781
2.242545,0.191911,-0.112535,0.089399
2.258449,0.115418,-0.054780,0.104124
2.274354,0.129258,-0.039720,0.129164
2.290258,0.101640,-0.010026,0.106352
2.306163,0.063447,0.012832,0.162992
2.322067,0.076249,0.045547,0.188520
2.337972,0.107438,0.060500,0.051268
